,ano,nome_entidade,data_ano_letivo_inicio,data_ano_letivo_termino
451,2017,ESCOLA MUNICIPAL PROFESSOR JOSE DA COSTA PORTO,2017-02-01T00:00:00,2017-12-22T00:00:00
452,2017,ESCOLA MUNICIPAL NOVO HORIZONTE,2017-02-03T00:00:00,2017-12-22T00:00:00
453,2017,EDUCANDARIO SHALOM LTDA,2017-02-01T00:00:00,2017-12-29T00:00:00
454,2017,ALICE MENDONCA,2017-02-01T00:00:00,2017-12-29T00:00:00
455,2017,ESCOLA SOUZA VERAS,2017-02-01T00:00:00,2017-12-27T00:00:00
456,2017,ESCOLA MUNICIPAL EDUCADOR PAULO FREIRE,2017-02-03T00:00:00,2017-12-22T00:00:00
457,2017,ESCOLA MUNICIPAL PROFESSOR SIMOES BARBOSA,2017-02-03T00:00:00,2017-12-22T00:00:00
458,2017,ESCOLA DA FRATERNIDADE,2017-02-01T00:00:00,2017-12-22T00:00:00
459,2017,ESCOLA MUNICIPAL VIRGEM PODEROSA,2017-02-03T00:00:00,2017-12-22T00:00:00
460,2017,COLEGIO E CURSO DESAFIO - D2,2017-01-30T00:00:00,2017-12-29T00:00:00
461,2017,CMEI NOVO PINA-,2017-02-03T00:00:00,2017-12-22T00:00:00
462,2017,INSTITUTO EDUCACIONAL SAO SEBASTIAO,2017-02-02T00:00:00,2017-12-22T00:00:00
463,2017,ESCOLA SONHO DA MAMAE,,
