,nome,endereco,latitude,longitude
146,PC BURACO DA GATA (QUADRA 3 CARNEIROS)-01,"R. Cap. João de Albuquerque, 10 - Ibura Ur Quatro, Recife - PE, 51320-660, Brazil",-8.12872113745269,-34.9469791273667
147,PC CAIS VILA DO VINTEM-02,"R. Dr. João Santos Filho, 17 - Parnamirim, Recife - PE, 52060-615, Brazil",-8.03748327818956,-34.9104805693287
148,PC CAIS VILA VINTEM-01,"R. Dr. João Santos Filho, 17 - Parnamirim, Recife - PE, 52060-615, Brazil",-8.03748327818956,-34.9104805693287
149,PC CAPIBA - CAJUEIRO,"R. Urca, 54 - Cajueiro, Recife - PE, 52221-360, Brazil",-8.00885396075627,-34.8853585177254
150,PC CASA FORTE-01,"Empresarial Alcides Fernandes - Praça de Casa Forte, 381 - sala 505 - Casa Forte, Recife - PE, 52061-420, Brazil",-8.03462414516641,-34.9194193892075
151,PC CASA FORTE-02,"Praça de Casa Forte, 454 - Casa Forte, Recife - PE, 52061-420, Brazil",-8.03426656953847,-34.9194728620465
152,PC CASA FORTE-03,"Praça de Casa Forte, 430 - Casa Forte, Recife - PE, 52061-420, Brazil",-8.03441860373689,-34.9195321848182
153,PC CASA FORTE-04,"Praça de Casa Forte, 430 - Casa Forte, Recife - PE, 52061-420, Brazil",-8.03466738684785,-34.9196368720623
154,PC CASA FORTE-05,"Praça de Casa Forte, 52 - Casa Forte, Recife - PE, 52061-420, Brazil",-8.03483669748894,-34.919270466708
155,PC CASA FORTE-06,"Praça de Casa Forte, 403 - Casa Forte, Recife - PE, 52061-420, Brazil",-8.03431494406233,-34.9190157277473
156,PC CASTRO ALVES-01,"R. Castro Alves, 410 - Torreão, Recife - PE, 52030-060, Brazil",-8.0398078,-34.8870045
157,PC CHICO SCIENCE-01,"Av. Sport Clube do Recife, 2 - Ilha do Retiro, Recife - PE, 50750-500, Brazil",-8.0619254,-34.9015502
158,PC CHORA MENINO-01,"Av. Lins Petit, 3 - Boa Vista, Recife - PE, 50070-230, Brazil",-8.06045532087026,-34.8948385861863
159,PC CICERO DIAS,"Praça Artista Plástico Cícero Dias - UR-5 - COHAB, Recife - PE, 51320-130, Brazil",-8.13274941009959,-34.9496957941446
160,PC CIDADE DO PORTO,"R. Sen. Hélio Coutinho, 214 - Boa Viagem, Recife - PE, 51111-160, Brazil",-8.1058056,-34.8894385
161,PC COMP ANTONIO MARIA-01,"R. Afonso de Albuquerque Melo, 101a - Santana, Recife - PE, 52060-450, Brazil",-8.0402063,-34.9147795
162,PC CONSELHEIRO JOAO ALFREDO-01,"Pista Local - R. Benfica, 114 - Madalena, Recife - PE, 50720-001, Brazil",-8.0572262,-34.9086446
163,PC COQUE E ARREDORES-02,"Pte. José de Barros Lima, 1002 - Ilha Joana Bezerra, Recife - PE, 50030-230, Brazil",-8.06977428266961,-34.8971016625824
